Company,Skill Area,Skill Match Score,Available Contacts
BML Munjal University,Agentic AI & LLM,1,3
GoAir,Agentic AI & LLM,1,3
Iron Mountain,Agentic AI & LLM,1,3
Teamlease Services Limited,Agentic AI & LLM,1,3
AISATS,Agentic AI & LLM,1,2
Air Liquide USA,Agentic AI & LLM,1,2
Aircel,Agentic AI & LLM,1,2
Aissel Technologies Pvt. Ltd,Agentic AI & LLM,1,2
Automation Anywhere,Agentic AI & LLM,1,2
Career Sailors,Agentic AI & LLM,1,2
JAI BALAJI GROUP,Agentic AI & LLM,1,2
Jai Vaishno Placement Network,Agentic AI & LLM,1,2
Jaiprakash Associates Ltd.,Agentic AI & LLM,1,2
Jet Airways,Agentic AI & LLM,1,2
Jumbotail,Agentic AI & LLM,1,2
Koutons Retail India Limited,Agentic AI & LLM,1,2
Milk Mantra Dairy,Agentic AI & LLM,1,2
Om Sai Placement,Agentic AI & LLM,1,2
Orphan Container,Agentic AI & LLM,1,2
Paisabazaar,Agentic AI & LLM,1,2
Sai Nath Placement,Agentic AI & LLM,1,2
Sai Placement And Consultant,Agentic AI & LLM,1,2
Sai Solution Placement Services,Agentic AI & LLM,1,2
Sheenlac Paints Limited,Agentic AI & LLM,1,2
TAI Infotech,Agentic AI & LLM,1,2
Tata AIA,Agentic AI & LLM,1,2
Tata AIG General Insurance Company,Agentic AI & LLM,1,2
qainfotech.net,Agentic AI & LLM,1,2
AIESEC Hyderabad,Agentic AI & LLM,1,1
AIESEC India,Agentic AI & LLM,1,1
AIMS Migital Technovations Pvt. Ltd,Agentic AI & LLM,1,1
AISPL1,Agentic AI & LLM,1,1
Aerodry Plastics Automation Pvt Ltd,Agentic AI & LLM,1,1
Aguai Solutions Pvt Ltd,Agentic AI & LLM,1,1
Aimfill International,Agentic AI & LLM,1,1
Aims Migital Tech Pvt Ltd,Agentic AI & LLM,1,1
QRT 24x7 Security Pvt. Ltd.,Computer Vision,1,3
A. R Security & Placement Services,Computer Vision,1,1
Arc Security Solutions Pvt Ltd,Computer Vision,1,1
CIMAGE,Computer Vision,1,1
Cinimage Studios Pvt Ltd,Computer Vision,1,1
Commando Protection Security Ind Private Limited,Computer Vision,1,1
Cvcorp,Computer Vision,1,1
Cyber Security Delhi,Computer Vision,1,1
D. K. Pro. Security Service & Gen. Man Power Consultants,Computer Vision,1,1
Hi- Tech Security & Placement,Computer Vision,1,1
Impact Image Consultants,Computer Vision,1,1
Industrial Security & Placement Corporation Private Limited,Computer Vision,1,1
S. V. I. Security & Placement Service,Computer Vision,1,1
Safety Security & Instrumentation Engineering Solutions,Computer Vision,1,1
